date,open,high,low,close
2018.11.08,1.31261,1.3149,1.30441,1.30607
2018.11.09,1.30613,1.30697,1.29573,1.29763
2018.11.12,1.29154,1.29459,1.28263,1.28489
2018.11.13,1.28479,1.30465,1.28408,1.29733
2018.11.14,1.29759,1.30711,1.28807,1.29899
2018.11.15,1.29901,1.3029,1.27232,1.27761
2018.11.16,1.27755,1.28767,1.27607,1.28313
2018.11.19,1.28453,1.28831,1.27935,1.28496
2018.11.20,1.28481,1.28825,1.27755,1.27859
2018.11.21,1.27867,1.28186,1.27633,1.27767
2018.11.22,1.27764,1.29266,1.27697,1.28763
2018.11.23,1.28765,1.28817,1.27979,1.28127
2018.11.26,1.28265,1.28631,1.27945,1.28071
2018.11.27,1.28089,1.28187,1.27245,1.27451
2018.11.28,1.27393,1.28461,1.27315,1.28223
2018.11.29,1.28243,1.28487,1.27545,1.27855
2018.11.30,1.27856,1.28087,1.27345,1.27443
2018.12.03,1.27425,1.28239,1.26981,1.27234
2018.12.04,1.27241,1.28389,1.26577,1.27127
2018.12.05,1.27147,1.27973,1.26709,1.27321
2018.12.06,1.27317,1.28105,1.26985,1.27791
2018.12.07,1.27789,1.27921,1.27097,1.27411
2018.12.10,1.27058,1.27588,1.25061,1.25588
2018.12.11,1.2559,1.26377,1.2479,1.24868
2018.12.12,1.24851,1.26708,1.24764,1.26271
2018.12.13,1.26287,1.26861,1.26089,1.26613
2018.12.14,1.26517,1.26665,1.25289,1.25791
2018.12.17,1.26015,1.26457,1.25696,1.26157
2018.12.18,1.26153,1.27048,1.26089,1.26382
2018.12.19,1.26387,1.26783,1.2606,1.26097
2018.12.20,1.26091,1.27058,1.26076,1.26557
2018.12.21,1.26534,1.26968,1.26167,1.26323
2018.12.24,1.26463,1.27379,1.26338,1.27081
2018.12.26,1.27043,1.27083,1.26297,1.26331
2018.12.27,1.26313,1.26739,1.26151,1.26421
2018.12.28,1.26414,1.27068,1.26344,1.26956
2018.12.31,1.26979,1.28141,1.26793,1.27559
2019.01.02,1.27507,1.27719,1.25809,1.26065
2019.01.03,1.26079,1.26465,1.24349,1.26309
2019.01.04,1.2631,1.27435,1.26151,1.27275
2019.01.07,1.27253,1.27861,1.27155,1.27767
2019.01.08,1.27796,1.27966,1.27057,1.27133
2019.01.09,1.27147,1.28027,1.27111,1.2787
2019.01.10,1.27875,1.27998,1.27269,1.27496
2019.01.11,1.27497,1.28647,1.27092,1.28385
2019.01.14,1.28525,1.29294,1.28185,1.28676
2019.01.15,1.28671,1.29147,1.26685,1.28599
2019.01.16,1.28598,1.28963,1.28242,1.28807
2019.01.17,1.28819,1.29999,1.28315,1.29851
2019.01.18,1.29853,1.29923,1.28557,1.287
2019.01.21,1.28771,1.29097,1.28298,1.28915
2019.01.22,1.28911,1.29742,1.28545,1.29555
2019.01.23,1.29557,1.30801,1.29412,1.30675
2019.01.24,1.30676,1.30931,1.30115,1.30637
2019.01.25,1.30641,1.32165,1.30587,1.31973
2019.01.28,1.31865,1.32105,1.31363,1.31579
2019.01.29,1.31539,1.31989,1.30551,1.30669
2019.01.30,1.30667,1.31443,1.30535,1.31148
2019.01.31,1.31151,1.31593,1.30966,1.31073
2019.02.01,1.31067,1.31141,1.30425,1.30847
2019.02.04,1.30697,1.31025,1.30277,1.30364
2019.02.05,1.30351,1.30515,1.2924,1.29537
2019.02.06,1.29532,1.29784,1.29243,1.29316
2019.02.07,1.29298,1.29955,1.28534,1.29521
2019.02.08,1.29517,1.29751,1.29205,1.29363
2019.02.11,1.29343,1.29378,1.28437,1.28587
2019.02.12,1.28575,1.29083,1.28318,1.28909
2019.02.13,1.28915,1.29576,1.28435,1.28435
2019.02.14,1.28445,1.28771,1.27722,1.28006
2019.02.15,1.28025,1.28971,1.27838,1.28874
2019.02.18,1.29035,1.29377,1.28908,1.29177
2019.02.19,1.29179,1.30716,1.28946,1.30589
2019.02.20,1.30583,1.3108,1.30112,1.3048
2019.02.21,1.30489,1.30943,1.3025,1.30356
2019.02.22,1.30365,1.3079,1.29673,1.30534
2019.02.25,1.30691,1.31129,1.30481,1.30946
2019.02.26,1.30949,1.32868,1.30934,1.32493
2019.02.27,1.32492,1.33492,1.32319,1.33046
2019.02.28,1.33047,1.3318,1.32522,1.32604
2019.03.01,1.32607,1.32854,1.31708,1.32088
2019.03.04,1.32428,1.32534,1.31658,1.31795
